48.08,19.68,-31.39,3.38,18.55,12.61,54.09,54.22,54.22,-0.00099,0.117536
47.9,26.83,-8.87,3.37,18.49,12.31,54.06,54.22,54.22,-0.000804,-0.061027
48.44,77.08,133.27,3.38,18.48,12.5,53.66,56.17,56.17,-0.000481,0.191687
47.55,43.44,37.23,3.38,18.44,12.41,53.59,51.81,51.81,-0.000781,0.53983
46.85,19.42,-30.33,3.37,18.39,12.24,53.81,52.94,52.94,-0.001088,0.314805
46.42,11.5,-52.38,3.37,18.34,12,54.29,53.15,53.15,-0.001378,0.051694
46.22,15.81,-42.71,3.36,18.29,11.79,54.07,55.7,55.7,-0.001848,0.183202
46.07,23.89,-19.13,3.36,18.24,11.67,54.57,53.47,53.47,-0.00231,0.075089
45.72,17.45,-33.39,3.36,18.2,11.55,54.32,52.93,52.93,-0.002274,0.211287
45.58,26.59,-8.41,3.36,18.16,11.5,54.68,54.61,54.61,-0.002221,-0.168871
45.29,23.18,-15.72,3.36,18.12,11.46,54.67,53.38,53.38,-0.002129,-0.122003
45.17,33.8,15.05,3.36,18.09,11.5,53.91,52.54,52.54,-0.002048,0
44.76,17.86,-15.88,3.36,18.06,11.49,54.18,49.16,49.16,-0.002,-0.060981
44.49,13.35,-16.46,3.36,18.03,11.48,54.24,50,50,-0.001933,0
44.12,-3.71,-40.11,3.36,17.99,11.39,54.34,49.15,49.15,-0.001889,0.229982
43.85,-12.13,-41.79,3.36,17.95,11.29,54.23,48.97,48.97,-0.001853,0.150207
43.56,-24.46,-47.74,3.36,17.91,11.19,53.93,46.65,46.65,-0.001859,0.25818
43.9,43.81,63.45,3.36,17.9,11.47,55.94,47.77,47.77,-0.001592,1.120488
42.34,-114.98,-168.75,3.35,17.82,11.14,56.04,46.39,46.39,-0.001897,1.6918
41.97,-130.24,-182.3,3.35,17.74,10.82,56.2,45.2,45.2,-0.003064,2.961007
42.18,-78.69,-103.08,3.34,17.67,10.53,57.46,44.74,44.74,-0.003282,2.491421
42.43,-28.3,-29.09,3.34,17.62,10.33,58.01,46.17,46.17,-0.003323,2.289682
43.07,60.45,114.69,3.34,17.58,10.38,58.57,47.65,47.65,-0.00362,1.897462
43.06,75.19,147.24,3.34,17.55,10.47,58.99,48.37,48.37,-0.002716,2.105263
42.48,34.08,85.38,3.35,17.51,10.44,58.59,47.43,47.43,-0.001076,2.540307
42.07,11.13,46.68,3.35,17.46,10.38,58.34,49.76,49.76,-0.000384,2.532002
41.48,-27.75,-22.76,3.34,17.41,10.19,58.11,48.54,48.54,0.000112,2.717927
41.36,-22.5,-17.85,3.34,17.35,10.02,57.78,51.99,51.99,0.000557,2.665916
41.01,-39.86,-49.17,3.34,17.29,9.82,57.51,49.25,49.25,0.000277,2.776473
40.83,-43.09,-57.52,3.34,17.23,9.63,57.66,50.06,50.06,-0.000098,2.923619
40.9,-24.34,-32,3.34,17.18,9.47,57.97,51.55,51.55,-0.000396,2.883306
40.67,-34.23,-49.19,3.33,17.12,9.31,57.87,49.17,49.17,-0.000736,2.982761
43.61,226.6,325.62,3.35,17.13,9.83,58.42,52.46,52.46,-0.000106,2.015866
42.74,148.02,191.13,3.36,17.11,10.03,57.74,57.58,57.58,0.001029,2.343823
42.19,100.43,115.43,3.37,17.09,10.23,57.45,54.15,54.15,0.001948,2.491803
40.98,8.19,-5.09,3.37,17.05,10.22,56.8,50.64,50.64,0.002593,2.76186
41.39,35.72,24.58,3.38,17.01,10.25,56.86,52.19,52.19,0.003501,2.522624
41.55,40.32,25.87,3.38,16.98,10.28,56.53,50.92,50.92,0.003473,2.438567
41.75,43.67,24.96,3.39,16.94,10.28,56.21,52.55,52.55,0.003077,2.352059
41.25,-0.19,-27.46,3.39,16.89,10.16,55.83,48.05,48.05,0.002905,2.59844
40.77,-42.36,-72.28,3.39,16.83,10,55.81,48.59,48.59,0.002552,2.706131
42.66,36.78,15.73,3.39,16.79,10.01,56.28,50.05,50.05,0.002235,2.588997
42.76,12,-11.34,3.39,16.75,9.97,56.26,49.32,49.32,0.001882,2.844403
43.73,17.64,-4.39,3.4,16.71,9.93,56.6,49.95,49.95,0.001494,2.838377
45.95,58.98,40.06,3.4,16.67,9.99,56.83,52.45,52.45,0.001374,2.725357
47.19,58.16,38.05,3.41,16.64,10.04,56.83,51.57,51.57,0.00171,2.769966
